,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_1.13-0-1
Units,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
23,191.0510114,137.0586449,526.2153245,129.1889196,363.6654745,220.9368673,204.6869365,172.4841549,162.9323448,288.7002201,0.034524883,0.052899906,0.017723836,0.046464245,0.016064862,0.015112209,0.003722119,0.003090446,0.842998257
24,176.5476282,172.0622559,229.1997111,180.2904218,189.9812387,159.0677063,237.2808172,136.8807931,159.8667382,132.2466895,0.026336167,0.018726284,0.021286874,0.032610547,0.021446531,0.020777035,0.014345522,0.005389714,0.842998257
25,294.1741153,146.5429176,323.2786149,144.9802621,136.5754105,70.92800827,152.9661007,234.0295209,133.0567784,227.8713327,0.013867643,0.0235699,0.066528087,0.009260989,0.034007067,0.033803803,0.009501944,0.006240798,0.842998257
26,155.7701074,205.9836743,202.5544605,183.8686078,126.5753498,104.6410094,63.61097855,139.6696722,219.6632776,123.9703,0.025668124,0.027407191,0.014196319,0.012591865,0.050238792,0.032424472,0.005639193,0.003870945,0.842998257
27,215.4601006,98.14542825,262.4330567,228.925092,146.1718342,165.6616249,125.0583462,169.1865413,124.7392897,128.2265056,0.01594478,0.035110761,0.023615689,0.034678276,0.026122015,0.015558979,0.004674328,0.009577903,0.842998257
28,183.6837616,149.6717901,186.5690155,202.6772616,226.4358586,99.21175133,162.0146355,262.4992873,194.0808185,249.6261826,0.036735404,0.026598858,0.027326494,0.023032953,0.019412772,0.02499062,0.015109981,0.008674854,0.842998257
29,229.7632935,259.4698743,134.3412789,173.2395721,182.5293156,172.4036391,113.5567581,150.967293,150.4574587,312.8825811,0.027022472,0.030929279,0.016426508,0.042718333,0.031239918,0.039436004,0.011734216,0.004102002,0.842998257
30,90.5219934,328.3530519,147.491558,159.2960578,111.6278358,92.80978264,141.601444,134.0906533,156.7737615,238.0952651,0.055388411,0.014541195,0.059412086,0.0105914,0.017906135,0.019747711,0.005266358,0.00762118,0.842998257
31,240.5408048,103.4105604,372.5513315,191.1776978,91.06246024,175.8524835,158.9315233,165.9806469,175.115975,270.6325053,0.046308211,0.108298584,0.029382618,0.041107212,0.023805202,0.012336361,0.004235611,0.004543284,0.842998257
32,395.3763229,178.8747512,155.6074694,475.5312791,119.4397079,136.1032152,374.9389106,125.6238391,169.0219683,157.063429,0.048746568,0.056159343,0.02604295,0.02372149,0.021885463,0.021868487,0.009001723,0.006682047,0.842998257
33,266.8752889,201.6776079,234.1409412,78.36705507,215.917855,194.2829184,175.2657573,251.4282988,197.4303754,93.406015,0.021933984,0.012980921,0.038478246,0.021684969,0.022338713,0.025708628,0.013120088,0.011012268,0.842998257
34,274.9729904,231.2453853,244.6422039,206.6997546,193.8838852,146.0423317,82.48576973,226.8780745,416.8258295,143.3753965,0.051685163,0.047730281,0.014995517,0.039629324,0.020199496,0.021314042,0.010345208,0.00839765,0.842998257
