,1-PGA-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
2.600000000000000000e+01,1.156795678636126183e+02,1.060474309682138454e+02,2.270118760314018758e+01,1.570098083428152380e+00
2.700000000000000000e+01,1.774081545848136159e+02,6.383494436194791177e+01,8.109585830535269224e+01,5.497482255218505642e+00
2.800000000000000000e+01,1.428522177562777244e+02,6.792162280234320804e+01,2.923358344747019899e+01,1.885194194371320409e+00
2.900000000000000000e+01,2.585762111326387753e+02,1.250949444599845322e+02,8.370603299637136274e+01,5.510538870872164985e+00
3.000000000000000000e+01,8.957279842116989244e+01,2.835858140450077158e+01,1.379064908771838027e+01,1.034665340924541654e+00
3.100000000000000000e+01,1.271125875105586687e+02,6.519224058707699498e+01,2.571208841202230388e+01,1.771890515418544476e+00
3.200000000000000000e+01,1.064756659862348727e+02,6.065857210662301924e+01,1.988190307615942487e+01,1.376783433797257317e+00
3.300000000000000000e+01,4.885348245975205117e+01,5.100485992094854026e+01,1.668969733064545835e+01,1.565815186111168211e+00
3.400000000000000000e+01,4.722960184614924373e+01,9.613326329997811115e+01,1.387514280802979449e+01,1.381071765455442302e+00
3.500000000000000000e+01,8.737466359773229385e+01,4.003302090720144975e+02,1.298663734335368414e+00,1.932783427274737675e-01
3.600000000000000000e+01,2.337668624972911005e+02,6.024563232343504069e+02,2.582779869670249084e+01,1.734316266662187189e+00
3.700000000000000000e+01,1.700008639390723033e+02,7.375749196717008545e+02,1.566287373255549475e+01,1.206664076305645317e+00
3.800000000000000000e+01,3.964494031454680112e+02,3.541595638888039730e+02,1.417247250256631830e+01,1.145760023010839568e+00
3.900000000000000000e+01,1.199486440175646180e+02,2.827473521451847560e+01,7.128734149438618317e+01,5.043708362889478103e+00
4.000000000000000000e+01,1.706330485025924020e+02,2.956624576004891765e+02,3.265542121578162238e+01,1.956617987666723568e+00
4.100000000000000000e+01,1.162074665683802692e+02,5.901057327429786170e+01,2.286199185861268646e+01,1.581262299584434539e+00
4.200000000000000000e+01,9.118233762176106438e+01,2.027698315251387839e+02,1.849149481508394643e+01,1.376464528705861001e+00
4.300000000000000000e+01,2.799083579463439264e+02,6.027651742746043340e+01,3.618247380977146577e+01,2.125567519995515298e+00
4.400000000000000000e+01,1.051339134886645894e+02,4.040505257207235559e+02,2.047132344186345421e+01,1.466522470493229369e+00
4.500000000000000000e+01,3.538287762804635008e+02,1.285390632522605756e+02,3.745890402739883029e+01,2.174199453463051768e+00
4.600000000000000000e+01,6.534343485182128575e+01,7.147550092075935879e+01,3.465682939647571459e+01,2.005449219886804357e+00
4.700000000000000000e+01,1.371484972888652862e+02,2.408002964854710228e+02,7.543724804199781886e+01,5.244066459769381794e+00
4.800000000000000000e+01,1.988553945080373637e+02,3.436221696667905121e+02,8.274925576835066465e+01,5.510900970336837901e+00
4.900000000000000000e+01,9.000846942734061429e+01,6.044982992375030051e+01,1.395768650074883865e+01,1.043349367673396255e+00
5.000000000000000000e+01,1.143921818975168492e+02,7.830134858540844789e+01,2.231039891361194805e+01,1.543700102713488231e+00
5.100000000000000000e+01,2.476786539446314350e+02,2.646037542936851992e+02,2.440922349681290626e+01,1.680448640153946238e+00
