type,,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID
loc,,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
dir,,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
hz,gm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless
1,23,0.0010995881513170865,0.0010056896874156963,0.0010999304486110045,0.0011676715590725687,0.001429046413492493,0.001454009761269609,0.0016116580710274504,0.0017185683863302494,0.001498277916092818,0.0015950259261018852,0.0019397558804426578,0.0017522772151316206,0.00218166987317322,0.0019245854242660862,0.0019419279443453033,0.001570110671730826,0.002266760548565764,0.001746026448707488,2.0013696722750582e-07,3.5780389128246825e-07,3.8224034282248417e-07,5.975388760280811e-07,4.12834246912441e-07,6.190713660617967e-07,5.951331581690295e-07,6.89514815055952e-07,4.2495502779422434e-07,7.066481114968994e-07,7.970872805913575e-08,7.425911204845686e-07,3.7879783325855295e-07,7.870647267070486e-07,2.466366001327054e-07,6.449758426437953e-07,2.3314389533983878e-08,4.48870646155752e-07
1,24,0.0005612679348691021,0.00039978501651618246,0.0007251057506185224,0.0005485598334020407,0.0007253788978302258,0.0006528019389176592,0.0006289274289583452,0.0006890803766418278,0.0006838389080577783,0.0007973767368944078,0.000888138504192075,0.0008678488756537893,0.0011313419355678594,0.0009233273854288088,0.0013302415191118538,0.0008228968548577666,0.0010753634550798915,0.0006530906411220472,1.7065592472515114e-06,6.452853808148379e-07,3.0949211567018374e-06,1.5367990899813027e-06,3.427507759007274e-06,1.6115428685193987e-06,3.5825817400863745e-06,1.5654892887119682e-06,3.7448658382009995e-06,1.5460068478729857e-06,3.668331463207472e-06,1.2972186751898137e-06,3.3925857500594517e-06,1.1085586766439952e-06,3.0296417265485154e-06,1.3250352097206543e-06,2.2514175040317863e-06,1.3632855036152049e-06
1,25,0.0007152667711768892,0.0006728662190121456,0.0009734057841093562,0.0009740882960934793,0.0009125114758542319,0.001117776859875747,0.0008528805903792282,0.0011047033791280118,0.0007724608082745892,0.0012337954889888802,0.0010636484133179128,0.0013093458831384263,0.0013549446516323788,0.001341666709833904,0.0014902910909975883,0.0012998731673218263,0.0012265456996951416,0.0009809803631110397,7.538441908174823e-07,9.033025329031241e-07,1.7576668112902292e-06,2.0034949202123395e-06,1.8788406595737641e-06,2.1595494299540647e-06,1.8494317788021947e-06,2.1924786019765976e-06,1.8556809263235513e-06,2.225510104704047e-06,1.825843857217252e-06,2.2303335899606834e-06,1.7827262531462586e-06,2.1588975875624913e-06,1.5762233764796342e-06,1.7250967889157104e-06,1.4565705220156826e-06,1.4016457868312533e-06
1,26,0.00035188127337336384,0.0008505938228700484,0.0005152511934901693,0.0012838423676717475,0.0005402812155384998,0.0014893465869636746,0.0005474150962571308,0.0015402299679154346,0.0007112459099654008,0.0016249620623829042,0.000860417973831891,0.0017232057743361972,0.0008033973732026083,0.001718708586004139,0.0006754006464162508,0.0015168284348752172,0.0006199825228191195,0.0010675652142630538,8.917550538802702e-07,1.2118273160129801e-06,1.8138240248192208e-06,2.3469501394998983e-06,1.8009158340018728e-06,2.719129234843144e-06,1.9035618525879363e-06,2.71340031692044e-06,1.8058278060132683e-06,2.5154503966849887e-06,2.192617489501687e-06,2.1978004524902863e-06,1.9124705443467204e-06,2.290664192399814e-06,1.9764077802144337e-06,1.7850029159980659e-06,1.911335489498068e-06,1.4867433542960929e-06
1,27,0.0008564704726424866,0.0006700489501438718,0.0011757244617034452,0.0009742996858976621,0.0014091802366254418,0.0010611740659568266,0.0014642223849948661,0.0010500262165414147,0.0014329353448764052,0.001095767828458101,0.001505476430009804,0.001151696905612624,0.0014809875951270614,0.0011290062102932265,0.0012762639502702012,0.0010799737140308524,0.001197141431512035,0.0008475268006652974,2.2231786142396704e-06,1.1427034348290562e-06,3.0610846360598263e-06,2.154657794876555e-06,3.553448841946066e-06,2.137485424383949e-06,3.6929557208466564e-06,2.067284161745954e-06,4.398371031855825e-06,1.9637034777493368e-06,3.3110025370574326e-06,1.9604372621638905e-06,2.2215869048153878e-06,2.090376970367253e-06,1.5011098034297208e-06,2.2401345016053406e-06,4.590549279784641e-07,1.9261031218476422e-06
1,28,0.0007548374901726231,0.0009023064875897298,0.0009788662948578696,0.001171630218620709,0.0010746723433446659,0.0011443939773995379,0.0010205655346014527,0.0013058750571304058,0.001408662705764007,0.0015527597417353486,0.0014347196938827153,0.0016685826761685067,0.001301666183232929,0.0016284008309933665,0.0013868002134449615,0.0014415155881876785,0.0012855541880577434,0.0012577634166531897,5.775589168618852e-07,1.6184838490946856e-07,1.4367618052611474e-06,4.4614318221289157e-07,1.598601944538739e-06,7.255081184853309e-07,1.673774171525347e-06,1.135279708330271e-06,1.4288202599998986e-06,7.301177029840896e-07,1.1566636671681056e-06,8.687914165006394e-07,9.155928212057598e-07,7.23432699586822e-07,8.372179734849122e-07,4.7333706560422573e-07,5.030164065400231e-07,5.568973588848003e-07
1,29,0.001189224044334002,0.0014072154041668593,0.0014755598422911108,0.0016583496591663506,0.0016374842975012776,0.0018588367037593813,0.0016859913532877625,0.0017944495793006225,0.0015837630458261226,0.001608194605999168,0.00220446893003418,0.002129949958212396,0.0027180977672548122,0.0031353511147457157,0.0026915014369343474,0.002822640143972844,0.0025623150371841086,0.002752280157692156,1.36893558663095e-07,8.306476273006174e-07,1.016682495428336e-06,1.9266164882003864e-06,1.311892490814057e-06,1.854489233004899e-06,1.733845224040052e-06,2.008062558925333e-06,1.751778789498979e-06,1.9936766685596204e-06,1.925967192753882e-06,1.9384477314538885e-06,2.2910823710275574e-06,1.6503505816230149e-06,1.913097608997736e-06,1.0511038800370762e-06,1.1282849401810218e-06,8.630721540406572e-07
1,3,0.0003710758776947174,0.0008269842837854514,0.0004637535888659761,0.0012055006108719157,0.0005663486513265848,0.001231640224216387,0.00047778382213376424,0.0013375478240296853,0.0005207385448395389,0.0014706337199150948,0.0005576113496705103,0.0013997782799535148,0.0006756754041438854,0.0015465865714151016,0.0007873078218218654,0.0015622244272549086,0.0007082755875923511,0.0013134515696153846,1.5669348865698875e-06,1.2150794458497944e-06,3.127794253651182e-06,2.333622723646804e-06,3.605931027008336e-06,2.5027718236543062e-06,3.568182219678839e-06,2.83239367280884e-06,3.64352433608832e-06,2.8661786616207106e-06,3.1762659263062298e-06,3.202628409021218e-06,2.8947258156457162e-06,2.895422083674709e-06,2.9406636810081636e-06,2.133530255094968e-06,3.1356934798017112e-06,1.0057225710945325e-06
1,30,0.0009018610808763787,0.00059171921375009,0.0011933631781461088,0.0006883931019620602,0.0012851282231536383,0.0008929375055987637,0.0011693215354761715,0.0008791174512194349,0.001333890538460438,0.0009814624019215993,0.0015047825901342144,0.0009498290429467349,0.001855164809631225,0.0010885472579091676,0.001980175351524742,0.0011538553526932696,0.0015738664101045616,0.001167131904413348,8.69427485511673e-07,7.424399761433004e-07,1.947512211660948e-06,1.744198386670426e-06,2.142490897093332e-06,1.9025890183476399e-06,2.1613965324735396e-06,1.9201602033912356e-06,2.1379156759206097e-06,1.9044873387438755e-06,2.1058010637064517e-06,1.8621255531978766e-06,1.992814550582254e-06,1.735742245688907e-06,1.7067676519621718e-06,1.4469839493876493e-06,1.368492038268308e-06,1.1772301303193238e-06
1,31,0.0006020612255711428,0.0007966679330244926,0.0007830157397315004,0.0010705958119762678,0.0010154787797449945,0.0010264482669587653,0.0011021233910539874,0.0010603895998842722,0.0010984056947109448,0.0011933585197433103,0.0011567907690183004,0.001207228413117696,0.0013956967291782571,0.0012723609160669549,0.0012159723180897696,0.001485768223592397,0.0009477856193466939,0.0012011673794660427,1.4265015632315538e-07,2.131033284298409e-07,2.8559177503481373e-07,4.0690541938404785e-07,3.1735663006403594e-07,4.3851891806040756e-07,2.979420078463898e-07,4.5741994428332075e-07,3.675797374841857e-07,5.669415720557561e-07,4.005309963838152e-07,5.634146148076117e-07,4.6127740680056586e-07,5.796138328213714e-07,3.619123024842298e-07,4.4209787971597144e-07,3.461597716038442e-07,3.845830858450643e-07
