ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0
C.ECB.H.bur.1.B.med.15-Cost,0,1 EA,loss_ratio,0.001,0.037,0.446,1.0
C.ECB.H.bur.1.B.med.3-Cost,0,1 EA,loss_ratio,0.001,0.022,0.43,0.965
C.ECB.H.bur.1.B.med.35-Cost,0,1 EA,loss_ratio,0.001,0.034,0.429,1.0
C.ECB.H.bur.1.B.med.70-Cost,0,1 EA,loss_ratio,0.001,0.03,0.472,1.0
C.ECB.H.bur.1.C.hig.100-Cost,0,1 EA,loss_ratio,0.004,0.009,0.512,0.843
C.ECB.H.bur.1.C.hig.15-Cost,0,1 EA,loss_ratio,0.001,0.026,0.462,0.864
C.ECB.H.bur.1.C.hig.3-Cost,0,1 EA,loss_ratio,0.001,0.023,0.424,0.803
C.ECB.H.bur.1.C.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.023,0.484,0.892
C.ECB.H.bur.1.C.hig.70-Cost,0,1 EA,loss_ratio,0.001,0.019,0.462,0.843
C.ECB.H.bur.1.C.low.100-Cost,0,1 EA,loss_ratio,0.001,0.042,0.48,0.482
C.ECB.H.bur.1.C.low.15-Cost,0,1 EA,loss_ratio,0.001,0.041,0.043,0.72
C.ECB.H.bur.1.C.low.3-Cost,0,1 EA,loss_ratio,0.001,0.017,0.019,0.682
C.ECB.H.bur.1.C.low.35-Cost,0,1 EA,loss_ratio,0.001,0.047,0.44,0.618
C.ECB.H.bur.1.C.low.70-Cost,0,1 EA,loss_ratio,0.001,0.047,0.049,0.539
C.ECB.H.bur.1.C.med.100-Cost,0,1 EA,loss_ratio,0.001,0.03,0.497,1.0
C.ECB.H.bur.1.C.med.15-Cost,0,1 EA,loss_ratio,0.001,0.039,0.47,1.0
C.ECB.H.bur.1.C.med.3-Cost,0,1 EA,loss_ratio,0.001,0.028,0.418,0.948
C.ECB.H.bur.1.C.med.35-Cost,0,1 EA,loss_ratio,0.001,0.042,0.426,1.0
C.ECB.H.bur.1.C.med.70-Cost,0,1 EA,loss_ratio,0.001,0.033,0.475,1.0
C.ECB.H.bur.1.D.hig.100-Cost,0,1 EA,loss_ratio,0.005,0.007,0.248,0.781
C.ECB.H.bur.1.D.hig.15-Cost,0,1 EA,loss_ratio,0.003,0.005,0.275,0.797
C.ECB.H.bur.1.D.hig.3-Cost,0,1 EA,loss_ratio,0.004,0.006,0.299,0.795
C.ECB.H.bur.1.D.hig.35-Cost,0,1 EA,loss_ratio,0.004,0.009,0.196,0.837
C.ECB.H.bur.1.D.hig.70-Cost,0,1 EA,loss_ratio,0.004,0.006,0.311,0.699
C.ECB.H.bur.1.D.low.100-Cost,0,1 EA,loss_ratio,0.006,0.009,0.439,0.488
C.ECB.H.bur.1.D.low.15-Cost,0,1 EA,loss_ratio,0.005,0.009,0.44,0.466
C.ECB.H.bur.1.D.low.3-Cost,0,1 EA,loss_ratio,0.002,0.004,0.438,0.646
C.ECB.H.bur.1.D.low.35-Cost,0,1 EA,loss_ratio,0.005,0.009,0.388,0.39
C.ECB.H.bur.1.D.low.70-Cost,0,1 EA,loss_ratio,0.006,0.009,0.44,0.458
C.ECB.H.bur.1.D.med.100-Cost,0,1 EA,loss_ratio,0.006,0.009,0.438,0.484
C.ECB.H.bur.1.D.med.15-Cost,0,1 EA,loss_ratio,0.007,0.009,0.449,1.0
C.ECB.H.bur.1.D.med.3-Cost,0,1 EA,loss_ratio,0.006,0.009,0.543,1.0
C.ECB.H.bur.1.D.med.35-Cost,0,1 EA,loss_ratio,0.006,0.009,0.433,1.0
C.ECB.H.bur.1.D.med.70-Cost,0,1 EA,loss_ratio,0.005,0.009,0.436,0.649
C.ECB.H.spm.0.A.hig.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.513,0.799
C.ECB.H.spm.0.A.hig.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.444,0.806
C.ECB.H.spm.0.A.hig.3-Cost,0,1 EA,loss_ratio,0.001,0.003,0.578,0.792
C.ECB.H.spm.0.A.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.46,0.804
C.ECB.H.spm.0.A.hig.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.494,0.803
C.ECB.H.spm.0.A.low.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.767
C.ECB.H.spm.0.A.low.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.776
C.ECB.H.spm.0.A.low.3-Cost,0,1 EA,loss_ratio,0.004,0.006,0.008,0.739
C.ECB.H.spm.0.A.low.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.781
C.ECB.H.spm.0.A.low.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.771
C.ECB.H.spm.0.A.med.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.5,0.811
C.ECB.H.spm.0.A.med.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.521,0.793
C.ECB.H.spm.0.A.med.3-Cost,0,1 EA,loss_ratio,0.001,0.003,0.632,0.766
C.ECB.H.spm.0.A.med.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.51,0.794
C.ECB.H.spm.0.A.med.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.511,0.797
C.ECB.H.spm.0.B.hig.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.55,0.814
C.ECB.H.spm.0.B.hig.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.522,0.813
C.ECB.H.spm.0.B.hig.3-Cost,0,1 EA,loss_ratio,0.001,0.003,0.598,0.795
C.ECB.H.spm.0.B.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.531,0.812
C.ECB.H.spm.0.B.hig.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.536,0.817
C.ECB.H.spm.0.B.low.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.779
C.ECB.H.spm.0.B.low.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.798
C.ECB.H.spm.0.B.low.3-Cost,0,1 EA,loss_ratio,0.001,0.018,0.02,0.74
C.ECB.H.spm.0.B.low.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.792
C.ECB.H.spm.0.B.low.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.794
C.ECB.H.spm.0.B.med.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.559,0.877
C.ECB.H.spm.0.B.med.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.581,0.803
C.ECB.H.spm.0.B.med.3-Cost,0,1 EA,loss_ratio,0.004,0.006,0.666,0.767
C.ECB.H.spm.0.B.med.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.588,0.809
C.ECB.H.spm.0.B.med.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.581,0.802
C.ECB.H.spm.0.C.hig.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.57,0.884
C.ECB.H.spm.0.C.hig.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.561,0.819
C.ECB.H.spm.0.C.hig.3-Cost,0,1 EA,loss_ratio,0.001,0.003,0.622,0.794
C.ECB.H.spm.0.C.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.575,0.816
C.ECB.H.spm.0.C.hig.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.588,0.847
C.ECB.H.spm.0.C.low.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.794
C.ECB.H.spm.0.C.low.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.808
C.ECB.H.spm.0.C.low.3-Cost,0,1 EA,loss_ratio,0.001,0.018,0.02,0.742
C.ECB.H.spm.0.C.low.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.81
C.ECB.H.spm.0.C.low.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.801
C.ECB.H.spm.0.C.med.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.62,0.949
