,1-PFA-0-0, 1-PRD-1-1
4.200000000000000000e+01,6.016647978262858132e+00,5.148333333333333234e-02
4.300000000000000000e+01,6.016557141367758987e+00,1.933611111111111225e-01
4.400000000000000000e+01,6.016673485536903954e+00,1.061611111111111228e-01
4.500000000000000000e+01,5.910516420166641360e+00,6.533333333333332833e-03
4.600000000000000000e+01,5.663357938914735712e+00,5.250000000000000326e-03
4.700000000000000000e+01,5.242336633141949420e+00,3.961111111111111430e-03
4.800000000000000000e+01,6.016897210266024310e+00,3.121111111111111308e-02
4.900000000000000000e+01,5.625939324265482711e+00,5.105555555555555888e-03
5.000000000000000000e+01,6.017291457904779151e+00,1.200555555555555577e-02
5.100000000000000000e+01,6.017565856582157480e+00,2.192222222222222489e-02
5.200000000000000000e+01,5.998526444717168005e+00,7.444444444444445370e-03
5.300000000000000000e+01,6.016656500517845174e+00,1.292055555555555457e-01
5.400000000000000000e+01,6.016569018212190478e+00,2.003888888888889080e-02
5.500000000000000000e+01,5.697233372511021798e+00,5.383333333333333720e-03
5.600000000000000000e+01,6.016549566384060022e+00,1.555555555555555684e-02
5.700000000000000000e+01,5.845053631831127028e+00,6.105555555555555909e-03
5.800000000000000000e+01,6.016632921143224344e+00,1.023944444444444546e-01
5.900000000000000000e+01,5.752675150617989175e+00,5.627777777777778420e-03
6.000000000000000000e+01,3.177479098372759658e+00,1.116666666666666632e-03
6.100000000000000000e+01,6.016854563362739050e+00,2.655000000000000068e-02
6.200000000000000000e+01,5.787121212000548631e+00,5.788888888888888556e-03
6.300000000000000000e+01,6.016558371777325220e+00,2.893777777777777893e-01
6.400000000000000000e+01,5.968763565386527858e+00,7.050000000000000711e-03
6.500000000000000000e+01,3.350132222103647806e+00,1.250000000000000026e-03
6.600000000000000000e+01,6.016696731784887398e+00,6.463333333333333430e-02
6.700000000000000000e+01,6.016655203581016131e+00,7.092777777777777015e-02
6.800000000000000000e+01,6.016832908685268322e+00,3.255000000000000254e-02
6.900000000000000000e+01,6.016773870683777226e+00,8.271111111111111025e-02
7.000000000000000000e+01,4.366238654111987749e+00,2.344444444444444570e-03
7.100000000000000000e+01,6.017380306210364793e+00,1.946111111111110958e-02
7.200000000000000000e+01,6.016671223700168269e+00,1.428277777777777757e-01
7.300000000000000000e+01,6.017022048795389821e+00,3.088888888888889281e-02
7.400000000000000000e+01,6.016957989679235119e+00,1.332777777777777693e-02
7.500000000000000000e+01,6.017097278283796591e+00,2.004444444444444459e-02
7.600000000000000000e+01,6.018656480464055214e+00,8.433333333333332613e-03
7.700000000000000000e+01,6.016652373276155430e+00,8.895555555555555161e-02
7.800000000000000000e+01,6.016946435602937626e+00,2.753888888888888706e-02
7.900000000000000000e+01,4.052584247450286448e+00,1.938888888888889083e-03
8.000000000000000000e+01,6.017252669753249350e+00,2.033888888888888899e-02
8.100000000000000000e+01,6.016955117551070487e+00,8.955555555555555144e-03
