ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-LongLeadTime,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-LongLeadTime,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-LongLeadTime,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-LongLeadTime,DS5-Family,DS5-Theta_0,DS5-Theta_1,DS5-LongLeadTime,DS6-Family,DS6-Theta_0,DS6-Theta_1,DS6-LongLeadTime,DS7-Family,DS7-Theta_0,DS7-Theta_1,DS7-LongLeadTime,DS8-Family,DS8-Theta_0,DS8-Theta_1,DS8-LongLeadTime,DS9-Family,DS9-Theta_0,DS9-Theta_1,DS9-LongLeadTime,DS10-Family,DS10-Theta_0,DS10-Theta_1,DS10-LongLeadTime,DS11-Family,DS11-Theta_0,DS11-Theta_1,DS11-LongLeadTime,DS12-Family,DS12-Theta_0,DS12-Theta_1,DS12-LongLeadTime,DS13-Family,DS13-Theta_0,DS13-Theta_1,DS13-LongLeadTime,DS14-Family,DS14-Theta_0,DS14-Theta_1,DS14-LongLeadTime,DS15-Family,DS15-Theta_0,DS15-Theta_1,DS15-LongLeadTime
B1033.052b-Cost,0,1 EA,US$_2011,normal,"43588.5,29640.2|3,7",0.333112,,normal,"55017.3,37411.8|3,7",0.305552,,normal,"59392.3,40386.8|3,7",0.298029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.052b-Time,0,1 EA,worker_day,normal,"28.8454,19.6149|3,7",0.41649,0,normal,"36.4085,24.7578|3,7",0.394794,0,normal,"39.3037,26.7266|3,7",0.389001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.052c-Cost,0,1 EA,US$_2011,normal,"43588.5,29640.2|3,7",0.333112,,normal,"64020.7,43534.1|3,7",0.290456,,normal,"70895.7,48209.1|3,7",0.28252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.052c-Time,0,1 EA,worker_day,normal,"28.8454,19.6149|3,7",0.41649,0,normal,"42.3666,28.8093|3,7",0.383229,0,normal,"46.9163,31.903|3,7",0.37725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.053a-Cost,0,1 EA,US$_2011,normal,"45589.5,31000.8|3,7",0.327049,,normal,"53741.6,36544.3|3,7",0.307273,,normal,"55616.6,37819.3|3,7",0.30371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.053a-Time,0,1 EA,worker_day,normal,"30.1695,20.5153|3,7",0.411656,0,normal,"35.5643,24.1837|3,7",0.396127,0,normal,"36.8051,25.0275|3,7",0.39337,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.053b-Cost,0,1 EA,US$_2011,normal,"45589.5,31000.8|3,7",0.327049,,normal,"69322.1,47139|3,7",0.284467,,normal,"73697.1,50114|3,7",0.280035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.053b-Time,0,1 EA,worker_day,normal,"30.1695,20.5153|3,7",0.411656,0,normal,"45.8749,31.1949|3,7",0.37871,0,normal,"48.7701,33.1637|3,7",0.375393,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.053c-Cost,0,1 EA,US$_2011,normal,"45589.5,31000.8|3,7",0.327049,,normal,"88328.9,60063.7|3,7",0.269326,,normal,"95203.9,64738.7|3,7",0.265331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.053c-Time,0,1 EA,worker_day,normal,"30.1695,20.5153|3,7",0.411656,0,normal,"58.453,39.748|3,7",0.367473,0,normal,"63.0026,42.8418|3,7",0.364555,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
