ID-DV,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0
C.ECB.H.bur.low.1.D.70-Cost,0,1 EA,loss_ratio,0.00797076743696617,0.008505908320001683,0.5615410007451044,1.0
C.ECB.H.bur.med.0.A.100-Cost,0,1 EA,loss_ratio,0.031751374618430604,0.0,0.5146651802312602,1.0
C.ECB.H.bur.med.0.A.15-Cost,0,1 EA,loss_ratio,0.020827242461503397,0.0,0.48958519358255786,1.0
C.ECB.H.bur.med.0.A.3-Cost,0,1 EA,loss_ratio,0.030692391872969117,0.0,0.5947698667274599,1.0
C.ECB.H.bur.med.0.A.35-Cost,0,1 EA,loss_ratio,0.020615263029907075,0.0,0.48917141371344713,1.0
C.ECB.H.bur.med.0.A.70-Cost,0,1 EA,loss_ratio,0.026952015693819543,0.0,0.5104601946689469,1.0
C.ECB.H.bur.med.0.B.100-Cost,0,1 EA,loss_ratio,0.03070341088787884,0.0,0.6033749043156241,1.0
C.ECB.H.bur.med.0.B.15-Cost,0,1 EA,loss_ratio,0.018394077855119963,0.0,0.5472620856093359,1.0
C.ECB.H.bur.med.0.B.3-Cost,0,1 EA,loss_ratio,0.007031136690870253,0.014261615758338524,0.6197274335146765,1.0
C.ECB.H.bur.med.0.B.35-Cost,0,1 EA,loss_ratio,0.02300732438529539,0.0,0.5685003137441559,1.0
C.ECB.H.bur.med.0.B.70-Cost,0,1 EA,loss_ratio,0.03144093859212161,0.0,0.5871261282555762,1.0
C.ECB.H.bur.med.0.C.100-Cost,0,1 EA,loss_ratio,0.03208339235683505,0.0,0.6492552049239885,1.0
C.ECB.H.bur.med.0.C.15-Cost,0,1 EA,loss_ratio,0.03174460816581068,0.0,0.6006611821225771,1.0
C.ECB.H.bur.med.0.C.3-Cost,0,1 EA,loss_ratio,0.0,0.023868138674846443,0.6211111943913998,1.0
C.ECB.H.bur.med.0.C.35-Cost,0,1 EA,loss_ratio,0.03628766753990543,0.0,0.624098197931679,1.0
C.ECB.H.bur.med.0.C.70-Cost,0,1 EA,loss_ratio,0.03501942075927955,0.0,0.6339002787599455,1.0
C.ECB.H.bur.med.0.D.100-Cost,0,1 EA,loss_ratio,0.023142241828893757,0.002234234734879046,0.6715227279128713,1.0
C.ECB.H.bur.med.0.D.15-Cost,0,1 EA,loss_ratio,0.0,0.013989361173844994,0.6276279764855028,1.0
C.ECB.H.bur.med.0.D.3-Cost,0,1 EA,loss_ratio,0.0,0.022304102767509732,0.6078561342273655,1.0
C.ECB.H.bur.med.0.D.35-Cost,0,1 EA,loss_ratio,0.004227847840737763,0.00929173664073494,0.6538286840537517,1.0
C.ECB.H.bur.med.0.D.70-Cost,0,1 EA,loss_ratio,0.012598811393896804,0.006341428836007857,0.669585678935832,1.0
C.ECB.H.bur.med.1.A.100-Cost,0,1 EA,loss_ratio,0.0,0.02428639724924593,0.41308466888187734,1.0
C.ECB.H.bur.med.1.A.15-Cost,0,1 EA,loss_ratio,0.0,0.03667747141214651,0.4708151411148773,1.0
C.ECB.H.bur.med.1.A.3-Cost,0,1 EA,loss_ratio,0.0,0.015527058563728408,0.45159007249236727,1.0
C.ECB.H.bur.med.1.A.35-Cost,0,1 EA,loss_ratio,0.0,0.031208522703423853,0.44532745918692196,1.0
C.ECB.H.bur.med.1.A.70-Cost,0,1 EA,loss_ratio,0.0,0.025011108588786697,0.43834005130368636,1.0
C.ECB.H.bur.med.1.B.100-Cost,0,1 EA,loss_ratio,0.0,0.023259720717870712,0.4401151038218073,1.0
C.ECB.H.bur.med.1.B.15-Cost,0,1 EA,loss_ratio,0.0,0.02831502182964782,0.48561698048097396,1.0
C.ECB.H.bur.med.1.B.3-Cost,0,1 EA,loss_ratio,0.0,0.016770650582132847,0.477405541516831,1.0
C.ECB.H.bur.med.1.B.35-Cost,0,1 EA,loss_ratio,0.0,0.0315193944941552,0.4440492443343404,1.0
C.ECB.H.bur.med.1.B.70-Cost,0,1 EA,loss_ratio,0.0,0.028457469836731183,0.4457985400681058,1.0
C.ECB.H.bur.med.1.C.100-Cost,0,1 EA,loss_ratio,0.0,0.03091936318931555,0.4202421585866962,1.0
C.ECB.H.bur.med.1.C.15-Cost,0,1 EA,loss_ratio,0.0,0.032790130752127986,0.5081548439823182,1.0
C.ECB.H.bur.med.1.C.3-Cost,0,1 EA,loss_ratio,0.0,0.024620532625395014,0.43523287725175325,1.0
C.ECB.H.bur.med.1.C.35-Cost,0,1 EA,loss_ratio,0.0,0.03710319021165248,0.46260711719624426,1.0
C.ECB.H.bur.med.1.C.70-Cost,0,1 EA,loss_ratio,0.0,0.0352755067880644,0.43424170218447233,1.0
C.ECB.H.bur.med.1.D.100-Cost,0,1 EA,loss_ratio,0.00773058609853634,0.008555258931431749,0.38271619534340856,1.0
C.ECB.H.bur.med.1.D.15-Cost,0,1 EA,loss_ratio,0.017916879841721516,0.0048993463764070554,0.5293651829378541,1.0
C.ECB.H.bur.med.1.D.3-Cost,0,1 EA,loss_ratio,0.018090972062331744,0.0049136964379226785,0.5827015641857995,1.0
C.ECB.H.bur.med.1.D.35-Cost,0,1 EA,loss_ratio,0.012350462778684913,0.00686423869813449,0.5417300448651309,1.0
C.ECB.H.bur.med.1.D.70-Cost,0,1 EA,loss_ratio,0.009086144570632797,0.007988570350195947,0.5073831203276031,1.0
C.ECB.H.spm.hig.0.A.100-Cost,0,1 EA,loss_ratio,0.0,0.02279097056873081,0.386727313625451,1.0
C.ECB.H.spm.hig.0.A.15-Cost,0,1 EA,loss_ratio,0.02752762541658655,0.0,0.3850494761438492,1.0
C.ECB.H.spm.hig.0.A.3-Cost,0,1 EA,loss_ratio,0.0,0.014920563479690235,0.46870708254090465,1.0
C.ECB.H.spm.hig.0.A.35-Cost,0,1 EA,loss_ratio,0.03578727265011525,0.0005097694859136146,0.38751503455885883,1.0
C.ECB.H.spm.hig.0.A.70-Cost,0,1 EA,loss_ratio,0.0,0.01804735583966246,0.39324185519675847,1.0
C.ECB.H.spm.hig.0.B.100-Cost,0,1 EA,loss_ratio,0.0,0.022517759993661585,0.4209323045973704,1.0
C.ECB.H.spm.hig.0.B.15-Cost,0,1 EA,loss_ratio,0.026646180121154158,0.0,0.4476228641394791,1.0
C.ECB.H.spm.hig.0.B.3-Cost,0,1 EA,loss_ratio,0.0,0.017996374743112963,0.48240070510680644,1.0
C.ECB.H.spm.hig.0.B.35-Cost,0,1 EA,loss_ratio,0.02394733161969719,0.0018120748845758673,0.4428765786611677,1.0
C.ECB.H.spm.hig.0.B.70-Cost,0,1 EA,loss_ratio,0.0,0.016269720379401872,0.4335511275658463,1.0
C.ECB.H.spm.hig.0.C.100-Cost,0,1 EA,loss_ratio,0.0,0.012036346128370474,0.4772838255412023,1.0
C.ECB.H.spm.hig.0.C.15-Cost,0,1 EA,loss_ratio,0.034694783380494046,0.0,0.5040038725281355,1.0
C.ECB.H.spm.hig.0.C.3-Cost,0,1 EA,loss_ratio,0.0,0.01945901770282837,0.500782189899152,1.0
C.ECB.H.spm.hig.0.C.35-Cost,0,1 EA,loss_ratio,0.0,0.010913767898418773,0.5038525121180563,1.0
C.ECB.H.spm.hig.0.C.70-Cost,0,1 EA,loss_ratio,0.0,0.015026145805900393,0.4918098966583721,1.0
C.ECB.H.spm.hig.0.D.100-Cost,0,1 EA,loss_ratio,0.0,0.04874284741498591,0.2220142734305127,1.0
C.ECB.H.spm.hig.0.D.15-Cost,0,1 EA,loss_ratio,0.0,0.0418456778762829,0.2763575952225794,1.0
C.ECB.H.spm.hig.0.D.3-Cost,0,1 EA,loss_ratio,0.0,0.03249093220729404,0.33772093306824763,1.0
C.ECB.H.spm.hig.0.D.35-Cost,0,1 EA,loss_ratio,0.0,0.046168501389353016,0.24395162555312344,1.0
C.ECB.H.spm.hig.0.D.70-Cost,0,1 EA,loss_ratio,0.0,0.04538679034257488,0.23505187052961218,1.0
C.ECB.H.spm.hig.1.A.100-Cost,0,1 EA,loss_ratio,0.005814785796675576,0.008663487769262804,0.34797322246349877,1.0
C.ECB.H.spm.hig.1.A.15-Cost,0,1 EA,loss_ratio,0.0,0.025989184948160264,0.4151196163139543,1.0
C.ECB.H.spm.hig.1.A.3-Cost,0,1 EA,loss_ratio,0.0,0.029122974221872804,0.1857704741436795,1.0
C.ECB.H.spm.hig.1.A.35-Cost,0,1 EA,loss_ratio,0.0,0.022189786602276534,0.3795191218826039,1.0
C.ECB.H.spm.hig.1.A.70-Cost,0,1 EA,loss_ratio,0.0,0.02199671633023363,0.3234452089161819,1.0
C.ECB.H.spm.hig.1.B.100-Cost,0,1 EA,loss_ratio,0.0,0.0156554693363976,0.3607037902516226,1.0
C.ECB.H.spm.hig.1.B.15-Cost,0,1 EA,loss_ratio,0.0,0.023244963631894017,0.39929000080119503,1.0
C.ECB.H.spm.hig.1.B.3-Cost,0,1 EA,loss_ratio,0.0,0.03233191856968742,0.25241937979653006,1.0
C.ECB.H.spm.hig.1.B.35-Cost,0,1 EA,loss_ratio,0.0,0.02144047668559002,0.3968107125438739,1.0
C.ECB.H.spm.hig.1.B.70-Cost,0,1 EA,loss_ratio,0.0,0.018340754795309975,0.37324213463943384,1.0
C.ECB.H.spm.hig.1.C.100-Cost,0,1 EA,loss_ratio,0.0,0.01687346412946426,0.3812511175673967,1.0
C.ECB.H.spm.hig.1.C.15-Cost,0,1 EA,loss_ratio,0.0,0.0235760805313583,0.44927477593213855,1.0
C.ECB.H.spm.hig.1.C.3-Cost,0,1 EA,loss_ratio,0.0,0.03235156502260589,0.29308461069373815,1.0
C.ECB.H.spm.hig.1.C.35-Cost,0,1 EA,loss_ratio,0.0,0.020462406221214074,0.4444986824381119,1.0
C.ECB.H.spm.hig.1.C.70-Cost,0,1 EA,loss_ratio,0.002628330521994667,0.01887325470444757,0.41023324366830194,1.0
C.ECB.H.spm.hig.1.D.100-Cost,0,1 EA,loss_ratio,0.0,0.013542311471192097,0.0,1.0
C.ECB.H.spm.hig.1.D.15-Cost,0,1 EA,loss_ratio,0.0,0.014109761774058567,0.0,1.0
C.ECB.H.spm.hig.1.D.3-Cost,0,1 EA,loss_ratio,0.0,0.01844974781597036,0.0,1.0
C.ECB.H.spm.hig.1.D.35-Cost,0,1 EA,loss_ratio,0.0,0.009742406623406316,0.0,1.0
C.ECB.H.spm.hig.1.D.70-Cost,0,1 EA,loss_ratio,0.0,0.019136753444120053,0.0,1.0
C.ECB.H.spm.low.0.A.100-Cost,0,1 EA,loss_ratio,0.050666503370438,0.0,0.5883167161844578,1.0
C.ECB.H.spm.low.0.A.15-Cost,0,1 EA,loss_ratio,0.03538660996991955,0.0,0.6181731006820914,1.0
C.ECB.H.spm.low.0.A.3-Cost,0,1 EA,loss_ratio,0.0,0.015483558775542054,0.6980962972873065,1.0
C.ECB.H.spm.low.0.A.35-Cost,0,1 EA,loss_ratio,0.043401831148899526,0.0,0.6069376771201488,1.0
C.ECB.H.spm.low.0.A.70-Cost,0,1 EA,loss_ratio,0.051574341243916404,0.0,0.5958635183284089,1.0
C.ECB.H.spm.low.0.B.100-Cost,0,1 EA,loss_ratio,0.05331856993753013,0.0,0.6504006751207683,1.0
C.ECB.H.spm.low.0.B.15-Cost,0,1 EA,loss_ratio,0.04505741095795294,0.0,0.6843119133712899,1.0
C.ECB.H.spm.low.0.B.3-Cost,0,1 EA,loss_ratio,0.0,0.022010875835179973,0.7079644982474951,1.0
C.ECB.H.spm.low.0.B.35-Cost,0,1 EA,loss_ratio,0.05363556442316592,0.0,0.6712234116926084,1.0
C.ECB.H.spm.low.0.B.70-Cost,0,1 EA,loss_ratio,0.05324096325221379,0.0,0.6655001888241445,1.0
C.ECB.H.spm.low.0.C.100-Cost,0,1 EA,loss_ratio,0.0,0.011219820123910545,0.6922687402043579,1.0
C.ECB.H.spm.low.0.C.15-Cost,0,1 EA,loss_ratio,0.06193832035123452,0.0,0.7212686580664057,1.0
C.ECB.H.spm.low.0.C.3-Cost,0,1 EA,loss_ratio,0.0,0.021672981851075,0.7178506867442509,1.0
C.ECB.H.spm.low.0.C.35-Cost,0,1 EA,loss_ratio,0.05951019128372171,0.0,0.7112341563299452,1.0
C.ECB.H.spm.low.0.C.70-Cost,0,1 EA,loss_ratio,0.03624654478801934,0.006131443682750299,0.7034709860328415,1.0
C.ECB.H.spm.low.0.D.100-Cost,0,1 EA,loss_ratio,0.0,0.011688465148444823,0.7114347967248835,1.0
C.ECB.H.spm.low.0.D.15-Cost,0,1 EA,loss_ratio,0.0,0.015589692279149287,0.7234735872397332,1.0
C.ECB.H.spm.low.0.D.3-Cost,0,1 EA,loss_ratio,0.0,0.017419682749878363,0.718047254099755,1.0
C.ECB.H.spm.low.0.D.35-Cost,0,1 EA,loss_ratio,0.0,0.01577919152829877,0.7154358250885933,1.0
C.ECB.H.spm.low.0.D.70-Cost,0,1 EA,loss_ratio,0.0,0.01400815782503963,0.7088489868704335,1.0
C.ECB.H.spm.low.1.A.100-Cost,0,1 EA,loss_ratio,0.0,0.02550763033630799,0.6218512273589519,1.0
C.ECB.H.spm.low.1.A.15-Cost,0,1 EA,loss_ratio,0.0,0.04212211319697691,0.5028482646251856,1.0
C.ECB.H.spm.low.1.A.3-Cost,0,1 EA,loss_ratio,0.0,0.017861391125318343,0.5847409570629589,1.0
C.ECB.H.spm.low.1.A.35-Cost,0,1 EA,loss_ratio,0.0,0.04257352958053976,0.4857277743258788,1.0
C.ECB.H.spm.low.1.A.70-Cost,0,1 EA,loss_ratio,0.0,0.03281245716477121,0.5415562632062859,1.0
C.ECB.H.spm.low.1.B.100-Cost,0,1 EA,loss_ratio,0.0,0.03294332744635264,0.5724498508609763,1.0
C.ECB.H.spm.low.1.B.15-Cost,0,1 EA,loss_ratio,0.0,0.04491394012795921,0.5356003932533495,1.0
C.ECB.H.spm.low.1.B.3-Cost,0,1 EA,loss_ratio,0.0,0.022732196005722037,0.5547137437930798,1.0
C.ECB.H.spm.low.1.B.35-Cost,0,1 EA,loss_ratio,0.0,0.04163994570374048,0.5100558519860645,1.0
C.ECB.H.spm.low.1.B.70-Cost,0,1 EA,loss_ratio,0.0,0.03638588678770671,0.522633994617828,1.0
C.ECB.H.spm.low.1.C.100-Cost,0,1 EA,loss_ratio,0.0,0.03715425895166327,0.5470244044351813,1.0
C.ECB.H.spm.low.1.C.15-Cost,0,1 EA,loss_ratio,0.0,0.056907547938402844,0.5224164255116527,1.0
C.ECB.H.spm.low.1.C.3-Cost,0,1 EA,loss_ratio,0.0,0.02220302642803579,0.5792969889011739,1.0
C.ECB.H.spm.low.1.C.35-Cost,0,1 EA,loss_ratio,0.0,0.0475877129129457,0.5051414019667984,1.0
C.ECB.H.spm.low.1.C.70-Cost,0,1 EA,loss_ratio,0.0,0.04540157536498127,0.5188081084347462,1.0
C.ECB.H.spm.low.1.D.100-Cost,0,1 EA,loss_ratio,0.011124132628838013,0.008008365340634833,0.5246381331970825,1.0
C.ECB.H.spm.low.1.D.15-Cost,0,1 EA,loss_ratio,0.014537579394215943,0.00729968561368723,0.5769778448765258,1.0
C.ECB.H.spm.low.1.D.3-Cost,0,1 EA,loss_ratio,0.027611797449737713,0.004422564052993434,0.580067278482397,1.0
C.ECB.H.spm.low.1.D.35-Cost,0,1 EA,loss_ratio,0.011367758517053354,0.008098258052574418,0.5493849314049143,1.0
C.ECB.H.spm.low.1.D.70-Cost,0,1 EA,loss_ratio,0.009135022956663102,0.00850989644199882,0.5614914475794732,1.0
C.ECB.H.spm.med.0.A.100-Cost,0,1 EA,loss_ratio,0.04728842607258448,0.0,0.5245219964071242,1.0
C.ECB.H.spm.med.0.A.15-Cost,0,1 EA,loss_ratio,0.029145907137093956,0.0,0.48743350896816434,1.0
C.ECB.H.spm.med.0.A.3-Cost,0,1 EA,loss_ratio,0.04571189986128705,0.0,0.5858461971079671,1.0
C.ECB.H.spm.med.0.A.35-Cost,0,1 EA,loss_ratio,0.03239623337706602,0.0,0.4955578180823515,1.0
C.ECB.H.spm.med.0.A.70-Cost,0,1 EA,loss_ratio,0.043725630026260925,0.0,0.5136628593458583,1.0
C.ECB.H.spm.med.0.B.100-Cost,0,1 EA,loss_ratio,0.050396923574623706,0.0,0.5974278009048364,1.0
C.ECB.H.spm.med.0.B.15-Cost,0,1 EA,loss_ratio,0.031227075050248878,0.0,0.5501470427816479,1.0
C.ECB.H.spm.med.0.B.3-Cost,0,1 EA,loss_ratio,0.0,0.01492623901254315,0.6157969668478918,1.0
C.ECB.H.spm.med.0.B.35-Cost,0,1 EA,loss_ratio,0.04090465128133622,0.0,0.5659709367957463,1.0
C.ECB.H.spm.med.0.B.70-Cost,0,1 EA,loss_ratio,0.049417042534131914,0.0,0.579381761598575,1.0
C.ECB.H.spm.med.0.C.100-Cost,0,1 EA,loss_ratio,0.051981202582253506,0.0,0.6448729545198674,1.0
C.ECB.H.spm.med.0.C.15-Cost,0,1 EA,loss_ratio,0.048373583978939864,0.0,0.6036705508066519,1.0
C.ECB.H.spm.med.0.C.3-Cost,0,1 EA,loss_ratio,0.0,0.020254627161055173,0.6257321749978042,1.0
C.ECB.H.spm.med.0.C.35-Cost,0,1 EA,loss_ratio,0.05487261294309533,0.0,0.6224167782968103,1.0
C.ECB.H.spm.med.0.C.70-Cost,0,1 EA,loss_ratio,0.055500186249212796,0.0,0.6349308943277084,1.0
C.ECB.H.spm.med.0.D.100-Cost,0,1 EA,loss_ratio,0.012966339531490394,0.00748193431871187,0.662877267347646,1.0
