,1-PGA-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
4.100000000000000000e+01,1.427921755793007890e+02,1.913571850406995054e+02,7.405544952867015240e+01,5.285978681868947149e+00
4.200000000000000000e+01,1.246688206621707593e+02,2.466277548800956652e+02,8.381997428799215299e+01,5.834255969712224044e+00
4.300000000000000000e+01,1.927816988135400322e+02,1.358643216069589812e+02,8.017597684323426677e+01,5.700397429883352629e+00
4.400000000000000000e+01,7.381061016220644433e+01,2.460784279001555603e+02,8.404804394938061307e+01,6.521615958934863677e+00
4.500000000000000000e+01,1.780837622438324388e+02,2.239422154095979920e+02,8.918250095132589195e+01,6.067405860532734785e+00
4.600000000000000000e+01,4.432610377832793347e+01,3.148709075307398919e+01,1.068099420666809465e+02,7.581669630199743715e+00
4.700000000000000000e+01,7.932820010016169476e+01,2.690294703965093390e+02,8.256017483473317498e+01,5.770680221708338387e+00
4.800000000000000000e+01,2.774185570250572255e+02,5.334199295890190342e+02,1.112991133748701174e+02,7.728363702855919115e+00
4.900000000000000000e+01,1.545472496633093442e+02,1.165977290656658880e+02,6.898469872272339387e+01,5.053958298138535810e+00
5.000000000000000000e+01,4.759370955316971958e+02,3.221834444825936998e+02,8.069330939627960220e+01,6.398482336547352212e+00
5.100000000000000000e+01,2.848507247147845192e+02,5.272110865280905045e+02,1.117579384488740999e+02,7.771575667999695902e+00
5.200000000000000000e+01,1.058413249000441851e+02,1.494244256397149968e+02,7.156643658463690372e+01,5.177990929417198629e+00
5.300000000000000000e+01,1.217713628795634548e+02,3.726765655906480674e+02,1.098502789794676175e+02,7.691453999752392967e+00
5.400000000000000000e+01,1.098727368311195391e+02,1.348946659481633503e+02,7.964537882019317294e+01,5.533170083644816550e+00
5.500000000000000000e+01,2.101287351207095924e+02,1.915957641826236113e+02,7.618556981284321239e+01,5.499144893095940567e+00
5.600000000000000000e+01,9.571302222771173263e+01,1.529182715466895957e+02,4.123106184732753121e+01,3.452308780410918043e+00
5.700000000000000000e+01,2.431857620838828495e+02,1.969721461987830367e+02,2.093621453489979345e+01,1.953000556245681807e+00
5.800000000000000000e+01,7.549726894989709081e+01,1.769258441593144369e+02,1.347902840996001927e+01,1.363293433391858267e+00
5.900000000000000000e+01,1.039393135439070051e+02,9.222468318446799174e+01,1.269763818947657263e+01,1.281386183312443361e+00
6.000000000000000000e+01,4.765752227805886605e+02,1.942744707979614702e+02,7.359833104686630634e+01,5.362901233215978003e+00
6.100000000000000000e+01,5.725353368302952362e+01,9.585664383875962358e+01,9.413452154720832254e+01,6.987928419220086340e+00
6.200000000000000000e+01,1.425084040992065866e+02,2.073289528628363882e+02,6.709869856344785433e+01,4.988138359379670206e+00
6.300000000000000000e+01,1.749076633104422456e+02,1.608989155261802466e+02,7.679167881578244703e+00,8.686738086278561477e-01
6.400000000000000000e+01,2.501375236059833469e+02,2.397086881993346594e+02,7.839412498495204318e+01,5.614660220756715781e+00
6.500000000000000000e+01,2.241285103168102921e+02,6.580994341058715236e+02,7.183011774067202282e+01,5.170492623865992066e+00
6.600000000000000000e+01,2.886494970331810350e+02,4.159252450328351074e+02,5.577929392450603530e+01,4.920132628506181938e+00
6.700000000000000000e+01,2.000769294278051404e+02,3.642251814348292100e+02,9.364556364578750447e+01,7.088225555663560051e+00
6.800000000000000000e+01,1.564693114319449023e+02,1.699208808234115793e+02,7.983783805137217371e+01,5.583288643346943303e+00
6.900000000000000000e+01,1.245334425154819797e+02,2.373220399419810747e+02,7.956555093622988295e+01,5.653628230101072738e+00
7.000000000000000000e+01,9.764289774437921210e+01,1.365640884195656497e+02,1.095234606233631354e+02,7.735099140874039492e+00
7.100000000000000000e+01,3.563861533521497194e+01,9.322098369943222451e+01,5.342003018488035337e+01,4.319599996353974625e+00
7.200000000000000000e+01,1.113683234737394940e+02,1.274001982063658147e+02,7.298013152990037611e+01,5.404910242568468526e+00
7.300000000000000000e+01,1.487970484811863514e+02,1.534887344439715378e+02,7.793119333633771362e+01,5.622536325662792045e+00
7.400000000000000000e+01,1.280309022447747225e+02,3.605005758609805753e+02,2.331516098710578078e+01,2.113900795104697750e+00
7.500000000000000000e+01,8.938975169553671662e+01,1.930464291705430355e+02,8.215868556844543491e+01,5.812155781729097193e+00
7.600000000000000000e+01,4.358710256496496527e+02,6.144545910627525700e+02,7.391859041226599913e+01,5.925612350186879596e+00
7.700000000000000000e+01,1.199136720422487912e+02,3.521463189445150874e+02,9.085268148658187215e+01,6.790381619862733587e+00
7.800000000000000000e+01,1.434312146161817623e+02,2.346433853501765441e+02,6.578263763784153184e+01,4.967073252008011863e+00
7.900000000000000000e+01,1.443176251662105756e+02,1.331901454822994424e+02,9.031284243389779931e+01,6.879180410657539824e+00
8.000000000000000000e+01,1.811878867655778720e+02,1.112458376129754640e+02,4.692595569025788649e+01,4.144194889064881870e+00
8.100000000000000000e+01,5.500992506201060905e+01,5.286136449787485247e+01,6.010278633577330254e+01,4.642924888244627013e+00
8.200000000000000000e+01,1.918857985101554959e+02,4.232189054391916443e+02,7.006993976861267015e+01,5.125065076399357267e+00
8.300000000000000000e+01,9.403007450995022509e+01,1.460634537254623808e+02,7.365175631141694623e+01,5.983299012519930571e+00
8.400000000000000000e+01,1.562011533652878370e+02,1.006987973484609995e+02,8.291866894465668736e+01,5.859020557618596747e+00
8.500000000000000000e+01,1.551138757430771022e+02,3.413811389615472081e+02,7.794231034650202616e+01,5.543561234812636407e+00
8.600000000000000000e+01,1.500913831469929676e+02,1.321719672212040848e+02,8.838190515602711628e+01,5.904216606541015544e+00
8.700000000000000000e+01,1.431374958054805688e+02,2.430625701980052327e+02,8.582938205578042812e+01,5.874653591753457249e+00
8.800000000000000000e+01,1.245305403503029993e+02,6.809710773665260319e+01,8.016954666613064262e+01,5.678256719663764329e+00
8.900000000000000000e+01,1.218762905653267552e+02,3.311608910452869736e+02,6.323996659960676681e+01,4.893585604517138421e+00
9.000000000000000000e+01,1.210233910933751389e+02,1.136957157696788272e+02,1.045332654941138344e+02,7.540684379801315451e+00
9.100000000000000000e+01,1.971745996401336640e+02,2.869065957301509115e+02,7.640298259234782563e+01,5.391416637938191592e+00
9.200000000000000000e+01,9.872056734113948551e+01,2.386970210569941457e+02,8.726718860734226269e+01,5.956568043674447033e+00
9.300000000000000000e+01,8.545756769273910436e+01,2.473688148053886948e+02,9.648727440620245943e+01,7.013878072064212432e+00
9.400000000000000000e+01,1.384523722704800548e+02,4.633569001465430688e+02,9.658260628569843220e+01,7.135594621694024475e+00
9.500000000000000000e+01,1.199706145515552862e+02,2.627958479653536870e+02,7.125641188409497317e+01,5.285869334244917006e+00
9.600000000000000000e+01,1.289342784722440740e+02,3.470716572104862507e+02,1.385994182882404679e+01,1.254745074739245014e+00
9.700000000000000000e+01,9.105489958248244875e+01,6.584173852137898564e+01,2.091095770983059410e+01,2.064511245767646219e+00
9.800000000000000000e+01,1.671817458134980257e+02,1.736474770358866522e+02,7.579627213165827015e+01,5.524236013528725842e+00
9.900000000000000000e+01,9.315393350974984799e+01,1.756903722561596624e+02,1.101843430022838675e+02,7.717657682606053449e+00
